"filename", "language", "C++", "XML", "Markdown", "Log", "JSON with Comments", "Python", "Lua", "Java", "C", "Toc", "HTML", "JavaScript", "Batch", "comment", "blank", "total"
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\ConsoleApplication2\ConsoleApplication2.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\ConsoleApplication2\huffdecode.h", "C++", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 144
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\ConsoleApplication2\huffencode.h", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 13, 126
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\ConsoleApplication2\huffman.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 33
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\ConsoleApplication2\hufftree.h", "C++", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 116
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\ConsoleApplication2\unused\ConsoleApplication2.vcxproj", "XML", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\DataVisual.vcxproj", "XML", 0, 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 134
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\Debug\DataVisual.Build.CppClean.log", "Log", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\Debug\DataVisual.log", "Log", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\Debug\vc.nativecodeanalysis.all.xml", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\Debug\源.nativecodeanalysis.xml", "XML", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\Release\DataVisual.log", "Log", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\chainDraw.h", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\functionDraw.cpp", "C++", 232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 255
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\functionDraw.h", "C++", 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42, 405
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\test.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 34
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\vectorDraw.h", "C++", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 149
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\DataVisualization\DataVisual\DataVisual\源.cpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 8, 73
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\LEXUESJJG\1.cpp", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\LEXUESJJG\10.cpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 34
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\LEXUESJJG\11.cpp", "C++", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 139
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\LEXUESJJG\12.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 65
"c:\Users\Zhao Yufeng\Documents\VSCode\C++\LEXUESJJG\13.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
